Method,A0,A1,A2,A3,A4,A5,A6,A7,Avg
Visual
PTAM,75.442,113.406,67.099,10.913,21.007,40.403,19.483,13.503,45.157
ORB-SLAM2,96.777,95.379,69.486,15.310,10.061,29.653,12.145,5.832,41.830
LSD-SLAM,105.963,221.643,310.963,199.445,155.692,249.644,49.805,38.673,166.479
DSO,231.860,431.929,216.893,188.989,115.477,323.482,14.864,27.142,193.830
Visual Inertial
MSCKF,156.018,294.091,102.657,44.493,114.845,82.885,66.001,105.492,120.810
OKVIS,71.677,87.73,68.381,22.949,146.89,77.924,63.895,47.465,73.364
VINS-Mono,63.395,80.687,74.842,19.964,18.691,42.451,26.240,18.226,43.062
VINS-Mono-NoLoop,75.388,161.444,56.562,23.643,21.532,49.790,27.088,19.973,54.428
SenseSLAM v1.0,58.995,55.097,36.370,17.792,15.558,34.810,20.467,10.777,31.233
